gene,chromosome,strand,tss
ENSG00000262810,chr17,+,2089680
ENSG00000279040,chr17,+,2101541
ENSG00000305438,chr17,+,2101866
ENSG00000279562,chr17,+,2117625
ENSG00000279340,chr17,-,2122508
ENSG00000306986,chr17,+,2122879
RN7SL624P,chr17,+,2199761
ENSG00000236838,chr17,+,2213696
ENSG00000236457,chr17,-,2216049
ENSG00000225084,chr17,+,2232629
SMG6-IT1,chr17,-,2236086
ENSG00000280242,chr17,+,2255718
SRR,chr17,+,2303382
TSR1,chr17,-,2336657
SNORD91B,chr17,-,2329237
SNORD91A,chr17,-,2330370
ENSG00000289388,chr17,+,2336511
SGSM2,chr17,+,2337497
ENSG00000274758,chr17,-,2366791
SGSM2-AS1,chr17,-,2379306
MNT,chr17,-,2401104
ENSG00000262456,chr17,+,2384846
ENSG00000308797,chr17,+,2402181
METTL16,chr17,-,2511891
ENSG00000279872,chr17,-,2424412
ENSG00000280280,chr17,-,2460294
ENSG00000299795,chr17,+,2511964
RN7SL33P,chr17,-,2558094
PAFAH1B1,chr17,+,2593182
ENSG00000279432,chr17,+,2639296
RN7SL608P,chr17,+,2680957
ENSG00000272770,chr17,-,2685088
ENSG00000272911,chr17,+,2688463
CLUH,chr17,-,2712663
MIR6776,chr17,-,2692919
ENSG00000262050,chr17,+,2711924
CCDC92B,chr17,-,2749652
MIR1253,chr17,-,2748182
hsa-mir-1253,chr17,+,2748077
ENSG00000299311,chr17,-,2756149
RAP1GAP2,chr17,+,2755704
ENSG00000308161,chr17,-,2940422
ENSG00000262884,chr17,-,2965895
ENSG00000309764,chr17,-,3029726
OR1D5,chr17,-,3063607
OR1D2,chr17,-,3104422
OR1G1,chr17,-,3127551
ENSG00000261848,chr17,-,3177072
OR1P1,chr17,-,3154882
ENSG00000295633,chr17,+,3163002
OR1A2,chr17,+,3197518
OR1A1,chr17,+,3207538
ENSG00000290747,chr17,+,3235702
OR3A2,chr17,-,3386317
OR3A1,chr17,-,3298360
ENSG00000290820,chr17,+,3309985
OR1R1P,chr17,+,3385929
OR1E1,chr17,-,3398410
OR3A3,chr17,+,3411369
OR1E2,chr17,-,3433841
ENSG00000280268,chr17,-,3441844
SPATA22,chr17,-,3513852
ASPA,chr17,+,3472373
TRPV3,chr17,-,3557812
TRPV1,chr17,-,3609411
ENSG00000263338,chr17,-,3578853
ENSG00000262304,chr17,-,3636249
ENSG00000261916,chr17,-,3602272
SHPK,chr17,-,3636250
CTNS,chr17,+,3636458
CTNS-AS1,chr17,-,3658092
TAX1BP3,chr17,-,3668679
P2RX5-TAX1BP3,chr17,-,3696194
EMC6,chr17,+,3668811
P2RX5,chr17,-,3696240
ITGAE,chr17,-,3801188
ENSG00000262692,chr17,+,3721627
HASPIN,chr17,+,3723902
ENSG00000262358,chr17,+,3729360
NCBP3,chr17,-,3846246
ENSG00000301385,chr17,+,3853947
CAMKK1,chr17,-,3894891
P2RX1,chr17,-,3916476
ENSG00000297767,chr17,-,3921757
ATP2A3,chr17,-,3964464
ENSG00000304769,chr17,-,3965622
LINC01975,chr17,+,3976830
ZZEF1,chr17,-,4143030
CYB5D2,chr17,+,4143167
ENSG00000308322,chr17,-,4161353
ENSG00000308342,chr17,-,4161952
ANKFY1,chr17,-,4263995
ENSG00000263165,chr17,+,4163909
Y_RNA,chr17,+,4186325
ENSG00000305596,chr17,+,4264088
ENSG00000274363,chr17,+,4267690
UBE2G1,chr17,-,4366675
RN7SL774P,chr17,-,4364453
ENSG00000305082,chr17,+,4366797
SPNS3,chr17,+,4433939
ENSG00000262823,chr17,-,4486472
SPNS2-AS1,chr17,-,4499913
SPNS2,chr17,+,4498880
MYBBP1A,chr17,-,4555386
ENSG00000304693,chr17,+,4555508
GGT6,chr17,-,4560818
ENSG00000262921,chr17,+,4565751
SMTNL2,chr17,+,4583998
ENSG00000306739,chr17,-,4628051
LINC01996,chr17,+,4609951
RNU6-955P,chr17,-,4619852
ALOX15,chr17,-,4642294
ENSG00000302931,chr17,-,4656062
PELP1,chr17,-,4704337
ENSG00000235085,chr17,+,4673829
PELP1-DT,chr17,+,4704094
ARRB2,chr17,+,4710595
ENSG00000302420,chr17,-,4726096
MED11,chr17,+,4731427
ENSG00000261898,chr17,-,4732371
CXCL16,chr17,-,4739928
ZMYND15,chr17,+,4739832
TM4SF5,chr17,+,4771883
VMO1,chr17,-,4786433
ENSG00000280254,chr17,+,4787056
GLTPD2,chr17,+,4788963
PSMB6,chr17,+,4796143
C17orf114,chr17,-,4807013
PLD2,chr17,+,4807151
MINK1,chr17,+,4833339
RN7SL784P,chr17,+,4882974
CHRNE,chr17,-,4934438
C17orf107,chr17,+,4899417
GP1BA,chr17,+,4932276
SLC25A11,chr17,-,4940053
RNF167,chr17,+,4940007
PFN1,chr17,-,4949061
ENO3,chr17,+,4948091
SPAG7,chr17,-,4967817
CAMTA2,chr17,-,4987675
ENSG00000262429,chr17,+,4967994
ENSG00000234203,chr17,+,4968249
MIR6864,chr17,-,4969771
MIR6865,chr17,-,4970150
CAMTA2-AS1,chr17,+,4986465
INCA1,chr17,-,4997610
KIF1C,chr17,+,4997949
KIF1C-AS1,chr17,-,5030970
ENSG00000305306,chr17,+,5031566
SLC52A1,chr17,-,5052009
ZFP3-DT,chr17,-,5078113
ZFP3,chr17,+,5078466
ENSG00000309719,chr17,-,5097704
ZNF232-AS1,chr17,+,5096978
ZNF232,chr17,-,5123162
USP6,chr17,+,5116031
ZNF594,chr17,-,5191868
ZNF594-DT,chr17,+,5191998
SCIMP,chr17,-,5234860
ENSG00000263164,chr17,-,5241543
RABEP1,chr17,+,5282264
NUP88,chr17,-,5420164
ENSG00000263220,chr17,-,5371626
RPAIN,chr17,+,5419640
ENSG00000263272,chr17,-,5432876
C1QBP,chr17,-,5448830
DHX33,chr17,-,5468982
DHX33-DT,chr17,+,5468037
DERL2,chr17,-,5486811
MIS12,chr17,+,5486284
NLRP1,chr17,-,5619424
ENSG00000286190,chr17,-,5501006
ENSG00000304198,chr17,+,5695695
ENSG00000286356,chr17,-,5772855
ENSG00000284837,chr17,+,5772233
ENSG00000285471,chr17,+,5772925
ENSG00000300067,chr17,+,5797848
ENSG00000302115,chr17,-,5981015
WSCD1,chr17,+,6057806
ENSG00000262231,chr17,-,6190563
RNU6-1264P,chr17,+,6207162
ENSG00000299194,chr17,+,6232136
ENSG00000299170,chr17,-,6238745
ENSG00000299154,chr17,+,6238428
ENSG00000285593,chr17,-,6375185
AIPL1,chr17,-,6435199
PIMREG,chr17,+,6444440
PITPNM3,chr17,-,6556555
Metazoa_SRP,chr17,+,6521130
KIAA0753,chr17,-,6640711
ENSG00000282936,chr17,-,6640711
TXNDC17,chr17,+,6640984
MED31,chr17,-,6651634
C17orf100,chr17,+,6651761
ENSG00000261996,chr17,-,6655009
MIR4520-1,chr17,-,6655509
MIR4520-2,chr17,+,6655448
ENSG00000290366,chr17,+,6657033
SLC13A5,chr17,-,6713377
ENSG00000304305,chr17,-,6750732
ENSG00000304233,chr17,+,6752707
XAF1,chr17,+,6755446
ENSG00000305079,chr17,-,6776126
PRAL,chr17,-,6776116
FBXO39,chr17,+,6776214
TEKT1,chr17,-,6831761
ALOX12P2,chr17,+,6853860
MIR497HG,chr17,-,7022133
ALOX12,chr17,+,6996048
RNASEK,chr17,+,7012416
RNASEK-C17orf49,chr17,+,7012634
C17orf49,chr17,+,7014494
MIR195,chr17,-,7017701
MIR497,chr17,-,7018022
BCL6B,chr17,+,7023049
SLC16A13,chr17,+,7036014
SLC16A11,chr17,-,7044092
CLEC10A,chr17,-,7080307
ASGR2,chr17,-,7115700
ENSG00000306813,chr17,+,7115169
ENSG00000289977,chr17,+,7131201
ENSG00000305670,chr17,+,7169028
ASGR1,chr17,-,7179564
DLG4,chr17,-,7219836
ENSG00000279812,chr17,-,7192448
ACADVL,chr17,+,7217124
MIR324,chr17,-,7223379
DVL2,chr17,-,7234517
PHF23,chr17,-,7239722
GABARAP,chr17,-,7242449
ENSG00000262526,chr17,-,7244635
ENSG00000279641,chr17,+,7242199
CTDNEP1,chr17,-,7252491
ENSG00000262302,chr17,-,7262089
ELP5,chr17,+,7251415
CLDN7,chr17,-,7263983
Y_RNA,chr17,-,75089974
SLC2A4,chr17,+,7281717
ENSG00000263342,chr17,-,7284071
YBX2,chr17,-,7294639
EIF5A,chr17,+,7306998
GPS2,chr17,-,7315564
ENSG00000261915,chr17,-,7319174
NEURL4,chr17,-,7329393
ACAP1,chr17,+,7336528
KCTD11,chr17,+,7351888
ENSG00000263171,chr17,-,7354944
TMEM95,chr17,+,7355122
TNK1,chr17,+,7380533
PLSCR3,chr17,-,7394842
TMEM256-PLSCR3,chr17,-,7404097
TMEM256,chr17,-,7404097
NLGN2,chr17,+,7404873
ENSG00000262880,chr17,+,7420102
SPEM1,chr17,+,7420323
SPEM2,chr17,+,7425615
SPEM3,chr17,+,7428856
ENSG00000286007,chr17,+,7428860
TMEM102,chr17,+,7435434
ENSG00000262624,chr17,-,7440911
FGF11,chr17,+,7438272
ENSG00000263301,chr17,-,7443327
ENSG00000272884,chr17,+,7439505
CHRNB1,chr17,+,7445060
ENSG00000308645,chr17,-,7455492
ZBTB4,chr17,-,7484263
SLC35G6,chr17,+,7481445
POLR2A,chr17,+,7484365
ENSG00000306936,chr17,-,7484699
TNFSF12,chr17,+,7548507
TNFSF12-TNFSF13,chr17,+,7549098
ENSG00000276384,chr17,-,7559880
TNFSF13,chr17,+,7558291
SENP3,chr17,+,7561918
SENP3-EIF4A1,chr17,+,7563286
EIF4A1,chr17,+,7572823
ENSG00000264772,chr17,+,7572825
SNORA48,chr17,+,7574712
SNORD10,chr17,+,7576810
SNORA67,chr17,+,7577954
CD68,chr17,+,7579490
MPDU1-AS1,chr17,-,7584102
MPDU1,chr17,+,7583528
SOX15,chr17,-,7590094
FXR2,chr17,-,7614897
SHBG,chr17,+,7613945
SAT2,chr17,-,7627876
ATP1B2,chr17,+,7646626
TP53,chr17,-,7687546
WRAP53,chr17,+,7686070
ENSG00000305571,chr17,-,7704980
ENSG00000305593,chr17,+,7704170
EFNB3,chr17,+,7705201
ENSG00000303555,chr17,+,7712150
ENSG00000296386,chr17,-,7717648
DNAH2,chr17,+,7717743
RPL29P2,chr17,+,7754319
KDM6B,chr17,+,7834216
ENSG00000307066,chr17,-,7835734
ENSG00000307081,chr17,+,7835328
ENSG00000288929,chr17,-,7836771
ENSG00000288748,chr17,+,7835807
TMEM88,chr17,+,7855065
NAA38,chr17,-,7885238
CYB5D1,chr17,+,7857745
ENSG00000280046,chr17,+,7858942
ENSG00000305371,chr17,+,7863324
CHD3,chr17,+,7884795
SCARNA21,chr17,+,7906121
RNF227,chr17,-,7916289
KCNAB3,chr17,-,7929856
ENSG00000262730,chr17,-,7930622
TRAPPC1,chr17,-,7932123
CNTROB,chr17,+,7932100
ENSG00000294695,chr17,+,7951917
GUCY2D,chr17,+,8002614
ENSG00000279174,chr17,-,8016378
ENSG00000299408,chr17,-,8016359
ALOX15B,chr17,+,8039033
ENSG00000263427,chr17,-,8067430
ENSG00000305105,chr17,+,8056869
ALOX12B,chr17,-,8087716
ENSG00000214999,chr17,+,8079458
MIR4314,chr17,+,8088055
ALOXE3,chr17,-,8119047
HES7,chr17,-,8124106
ENSG00000288993,chr17,-,8126652
PER1,chr17,-,8156506
MIR6883,chr17,-,8145071
ENSG00000263620,chr17,-,8162975
ENSG00000301902,chr17,-,8154246
VAMP2,chr17,-,8163546
ENSG00000299959,chr17,+,8164447
TMEM107,chr17,-,8176399
SNORD118,chr17,-,8173587
ENSG00000266824,chr17,+,8174064
MIR4521,chr17,+,8186944
BORCS6,chr17,-,8190180
ENSG00000279152,chr17,+,8188932
ENSG00000299228,chr17,+,8189483
ENSG00000299214,chr17,-,8200228
AURKB,chr17,-,8210600
LINC00324,chr17,-,8224079
ENSG00000305852,chr17,+,8221411
CTC1,chr17,-,8248058
PFAS,chr17,+,8247617
ENSG00000269947,chr17,+,8277762
SLC25A35,chr17,-,8295400
RANGRF,chr17,+,8288653
ENSG00000226871,chr17,-,8321131
ARHGEF15,chr17,+,8310240
ENSG00000289984,chr17,+,8326724
ENSG00000212206,chr17,+,8329582
ENSG00000266279,chr17,+,8337696
ODF4,chr17,+,8339839
KRBA2,chr17,-,8376704
ENSG00000265749,chr17,+,8365562
ENSG00000263809,chr17,-,8383187
RPL26,chr17,-,8383213
ENSG00000288750,chr17,+,8383647
RNF222,chr17,-,8397827
NDEL1,chr17,+,8413130
MYH10,chr17,-,8631376
RNU7-43P,chr17,+,8511124
ENSG00000309385,chr17,+,8670584
ENSG00000301461,chr17,+,8718448
CCDC42,chr17,-,8745219
ENSG00000297596,chr17,+,8744892
ENSG00000297606,chr17,-,8747192
SPDYE4,chr17,-,8758559
ENSG00000296473,chr17,+,8792054
MFSD6L,chr17,-,8799365
PIK3R6,chr17,-,8867677
ENSG00000302010,chr17,+,8867773
ENSG00000294813,chr17,-,8874387
ENSG00000294790,chr17,+,8872330
PIK3R5,chr17,-,8965712
ENSG00000297004,chr17,+,8886214
ENSG00000296209,chr17,+,8901251
PIK3R5-DT,chr17,+,8965780
NTN1,chr17,+,9021509
ENSG00000303424,chr17,+,9104862
ENSG00000262966,chr17,-,9179118
ENSG00000273816,chr17,-,9244897
STX8,chr17,-,9576591
ENSG00000263708,chr17,+,9283173
ENSG00000299235,chr17,+,9376519
ENSG00000225751,chr17,+,9452196
ENSG00000262815,chr17,+,9464741
ENSG00000263051,chr17,+,9547297
ENSG00000271851,chr17,-,9555696
CFAP52,chr17,+,9576626
ENSG00000265349,chr17,-,9645325
USP43,chr17,+,9644697
ENSG00000262296,chr17,-,9647660
ENSG00000282882,chr17,+,9764185
DHRS7C,chr17,-,9791592
ENSG00000278944,chr17,-,9808855
GSG1L2,chr17,-,9822079
ENSG00000283025,chr17,+,9805442
GLP2R,chr17,+,9822205
RCVRN,chr17,-,9905271
GAS7,chr17,-,10198606
MYHAS,chr17,+,10291815
MYH13,chr17,-,10373130
MYH8,chr17,-,10421950
MYH4,chr17,-,10469559
MYH1,chr17,-,10518542
MYH2,chr17,-,10549700
MYH3,chr17,-,10657309
ENSG00000261433,chr17,-,10659082
SCO1,chr17,-,10698375
ADPRM,chr17,+,10697593
TMEM220,chr17,-,10730023
ENSG00000293151,chr17,-,10716430
TMEM220-AS1,chr17,+,10729732
ENSG00000264016,chr17,-,10769089
ENSG00000296913,chr17,-,10791892
ENSG00000296958,chr17,-,10791170
ENSG00000266114,chr17,+,10792058
ENSG00000284876,chr17,-,10838094
TMEM238L,chr17,-,10804099
ENSG00000279542,chr17,-,10822243
PIRT,chr17,-,10838087
ENSG00000289964,chr17,-,10845265
RNU6-1065P,chr17,-,10858004
ENSG00000305083,chr17,-,10922826
ENSG00000307775,chr17,-,11091180
ENSG00000306265,chr17,-,11151284
RN7SL601P,chr17,+,11157454
ENSG00000285541,chr17,-,11242062
SHISA6,chr17,+,11241212
ENSG00000264727,chr17,+,11288204
DNAH9,chr17,+,11598469
ENSG00000263684,chr17,-,11882195
ENSG00000266368,chr17,-,11977594
ENSG00000298074,chr17,+,11972081
ZNF18,chr17,-,11997475
ENSG00000289910,chr17,+,11997582
ENSG00000293152,chr17,-,12021508
MAP2K4,chr17,+,12020828
RNU11-2P,chr17,-,12036637
MIR744,chr17,+,12081898
ENSG00000265400,chr17,+,12201599
ENSG00000300406,chr17,-,12366002
ENSG00000286617,chr17,-,12395177
ENSG00000304465,chr17,-,12407046
LINC00670,chr17,+,12549527
ENSG00000287462,chr17,-,12632959
MYOCD,chr17,+,12665889
MYOCD-AS1,chr17,-,12720153
ENSG00000309791,chr17,-,12744408
ARHGAP44-AS1,chr17,-,12790242
ARHGAP44,chr17,+,12789497
MIR1269B,chr17,-,12917342
ENSG00000280168,chr17,-,12973834
ENSG00000277621,chr17,-,12983002
ENSG00000263707,chr17,-,12990610
ELAC2,chr17,-,13018065
ENSG00000273098,chr17,+,13046561
ENSG00000305138,chr17,-,13095606
ENSG00000308590,chr17,+,13141046
LINC02093,chr17,-,13306810
ENSG00000295114,chr17,+,13307654
ENSG00000300019,chr17,-,13419860
HS3ST3A1,chr17,-,13601929
MIR548H3,chr17,-,13543646
ENSG00000302851,chr17,+,13619731
COX10-DT,chr17,-,14069508
ENSG00000295658,chr17,+,13765949
ENSG00000265494,chr17,+,13909230
ENSG00000266744,chr17,-,13966952
ENSG00000303252,chr17,+,14024454
COX10,chr17,+,14069489
SNORA74,chr17,+,14177130
CDRT15,chr17,-,14236862
ENSG00000307975,chr17,+,14247772
ENSG00000262786,chr17,-,14297600
ENSG00000294706,chr17,-,14301105
ENSG00000294723,chr17,+,14299500
HS3ST3B1,chr17,+,14301080
ENSG00000266709,chr17,+,14303853
ENSG00000266378,chr17,+,14327334
ENSG00000230647,chr17,+,14374061
ENSG00000303027,chr17,-,14576126
ENSG00000226130,chr17,+,14725728
ENSG00000304995,chr17,-,14746173
ENSG00000205325,chr17,-,14780686
ENSG00000293976,chr17,-,14834401
LINC02096,chr17,+,14834556
ENSG00000298276,chr17,-,14846148
ENSG00000232058,chr17,+,15014750
CDRT7,chr17,+,15030974
ENSG00000287307,chr17,-,15104517
ENSG00000306201,chr17,+,15077370
CDRT8,chr17,-,15107133
ENSG00000303780,chr17,+,15156721
PMP22,chr17,-,15272292
MIR4731,chr17,-,15251696
ENSG00000279660,chr17,+,15260512
ENSG00000265445,chr17,+,15260957
ENSG00000237377,chr17,-,15291983
TEKT3,chr17,-,15341632
RNU6-799P,chr17,+,15311344
ENSG00000298674,chr17,+,15341108
ENSG00000279567,chr17,+,15365322
ENSG00000266667,chr17,-,15417888
RN7SL792P,chr17,+,15408383
CDRT4,chr17,-,15475728
TVP23C-CDRT4,chr17,-,15563561
TVP23C,chr17,-,15563595
ENSG00000266538,chr17,-,15531089
FBXW10B,chr17,-,15619704
ENSG00000251537,chr17,-,15651653
TRIM16,chr17,-,15684311
ENSG00000266261,chr17,+,15651589
ZNF286A-TBC1D26,chr17,+,15699551
ZNF286A,chr17,+,15699576
ENSG00000308372,chr17,-,15733734
TBC1D26,chr17,+,15732246
TBC1D26-AS1,chr17,-,15764613
ENSG00000308353,chr17,+,15749286
ENSG00000305843,chr17,+,15770968
ENSG00000306245,chr17,-,15786174
ENSG00000265519,chr17,-,15788205
ENSG00000276855,chr17,+,15789015
ENSG00000295730,chr17,+,15792875
LINC02087,chr17,-,15847996
ENSG00000290377,chr17,+,15817939
ENSG00000302207,chr17,-,15916301
ADORA2B,chr17,+,15945129
ZSWIM7,chr17,-,15999717
TTC19,chr17,+,15999783
ENSG00000275413,chr17,-,16023653
NCOR1,chr17,-,16218185
ENSG00000227782,chr17,+,16040471
RNU6-314P,chr17,+,16098703
RNU6-862P,chr17,-,16137872
RN7SL442P,chr17,+,16191831
PIGL,chr17,+,16217190
MIR1288,chr17,+,16282013
CENPV,chr17,-,16353656
ENSG00000307963,chr17,+,16352856
ENSG00000307831,chr17,-,16380674
UBB,chr17,+,16380797
ENSG00000265401,chr17,-,16382745
ENSG00000308416,chr17,+,16387006
ENSG00000264739,chr17,-,16416689
TRPV2,chr17,+,16415570
ENSG00000239203,chr17,+,16427473
SNHG29,chr17,+,16438766
SNORD49B,chr17,+,16439504
SNORD49A,chr17,+,16440035
ENSG00000266651,chr17,-,16440952
SNORD65,chr17,+,16441225
LRRC75A,chr17,-,16492193
ENSG00000286743,chr17,+,16525831
ENSG00000306108,chr17,-,16536136
ZNF287,chr17,-,16569204
ENSG00000266803,chr17,-,16559269
ENSG00000295229,chr17,+,16584469
ZNF624,chr17,-,16653856
ENSG00000264765,chr17,+,16653903
ENSG00000298948,chr17,+,16656284
ENSG00000294835,chr17,-,16687153
CCDC144A,chr17,+,16689536
ENSG00000266302,chr17,+,16690260
RNU6-405P,chr17,+,16691797
RN7SL620P,chr17,+,16710058
ENSG00000290976,chr17,+,16773344
ENSG00000272815,chr17,+,16788056
ENSG00000264673,chr17,-,16789234
FAM106C,chr17,+,16788878
ENSG00000264729,chr17,+,16804626
ENSG00000290977,chr17,-,16822579
ENSG00000290978,chr17,-,16840710
ENSG00000290979,chr17,-,16842511
ENSG00000298654,chr17,+,16840805
ENSG00000291277,chr17,-,16845881
ENSG00000290980,chr17,-,16852821
ENSG00000283033,chr17,+,16861145
ENSG00000299412,chr17,+,16866743
ENSG00000307797,chr17,-,16893376
ENSG00000307457,chr17,+,16893654
ENSG00000290698,chr17,-,16934839
TNFRSF13B,chr17,-,16972118
ENSG00000230709,chr17,-,16981353
LINC02090,chr17,+,16988328
ENSG00000260328,chr17,-,17015052
ENSG00000287910,chr17,-,17042305
ENSG00000287114,chr17,+,17028318
MPRIP,chr17,+,17042456
MPRIP-AS1,chr17,-,17077752
ENSG00000263624,chr17,-,17185554
RNU6-767P,chr17,+,17170082
RN7SL775P,chr17,+,17178413
ENSG00000278864,chr17,+,17181503
PLD6,chr17,-,17206333
ENSG00000264187,chr17,-,17237185
FLCN,chr17,-,17237188
ENSG00000266498,chr17,-,17236118
ENSG00000294588,chr17,+,17237669
COPS3,chr17,-,17281273
NT5M,chr17,+,17303334
ENSG00000295736,chr17,+,17352407
ENSG00000302651,chr17,+,17363874
ENSG00000290056,chr17,+,17391811
ENSG00000300301,chr17,-,17408409
ENSG00000306254,chr17,+,17420631
ENSG00000297887,chr17,-,17446129
MED9,chr17,+,17476993
RASD1,chr17,-,17496395
ENSG00000286430,chr17,+,17504004
PEMT,chr17,-,17591708
ENSG00000265511,chr17,+,17507350
ENSG00000306320,chr17,-,17568351
RNU6-468P,chr17,+,17578630
ENSG00000264666,chr17,+,17591427
ENSG00000279200,chr17,+,17616042
ENSG00000306341,chr17,-,17632761
SMCR2,chr17,-,17677688
ENSG00000273948,chr17,+,17675365
ENSG00000274836,chr17,+,17676210
RAI1,chr17,+,17681457
ENSG00000294573,chr17,+,17686083
ENSG00000294595,chr17,+,17752380
RAI1-AS1,chr17,-,17774684
ENSG00000299826,chr17,-,17783539
SMCR5,chr17,-,17779529
ENSG00000264167,chr17,+,17777780
SREBF1,chr17,-,17837002
MIR6777,chr17,-,17813545
MIR33B,chr17,-,17813931
ENSG00000303242,chr17,+,17840288
ENSG00000301763,chr17,+,17842542
TOM1L2,chr17,-,17972422
ENSG00000197815,chr17,+,17858226
DRC3,chr17,+,17972812
ATPAF2,chr17,-,18039209
ENSG00000280198,chr17,-,18026771
GID4,chr17,+,18039407
ENSG00000298337,chr17,-,18087794
DRG2,chr17,+,18087891
ENSG00000279428,chr17,-,18110463
MYO15A,chr17,+,18108755
ENSG00000266677,chr17,-,18184791
ALKBH5,chr17,+,18183077
LLGL1,chr17,+,18225634
FLII,chr17,-,18258738
MIEF2,chr17,+,18260596
ENSG00000260647,chr17,+,18268079
TOP3A,chr17,-,18315007
SMCR8,chr17,+,18315292
SHMT1,chr17,-,18363550
MIR6778,chr17,-,18340886
EVPLL,chr17,+,18377777
ENSG00000264177,chr17,-,18388984
LINC02076,chr17,+,18411149
ENSG00000290655,chr17,+,18412391
ENSG00000290656,chr17,+,18426860
ENSG00000296797,chr17,-,18438149
ENSG00000290657,chr17,+,18432050
ENSG00000293139,chr17,+,18450184
LGALS9C,chr17,+,18476736
ENSG00000290658,chr17,-,18506313
FAM106A,chr17,-,18625681
ENSG00000305080,chr17,+,18606168
TBC1D28,chr17,-,18644427
ENSG00000287058,chr17,-,18661950
ZNF286B,chr17,-,18682228
FOXO3B,chr17,-,18682314
TRIM16L,chr17,+,18697966
FBXW10,chr17,+,18744025
TVP23B,chr17,+,18781110
ENSG00000265478,chr17,+,18809955
ENSG00000289213,chr17,-,18856236
ENSG00000304181,chr17,+,18835702
PRPSAP2,chr17,+,18840084
RN7SL627P,chr17,+,18840617
ENSG00000264273,chr17,-,18861466
ENSG00000212618,chr17,+,18943998
SLC5A10,chr17,+,18950344
ENSG00000196893,chr17,-,18954149
FAM83G,chr17,-,19004764
GRAP,chr17,-,19047011
ENSG00000279825,chr17,+,19030856
SNORD3B-1,chr17,+,19061911
GRAPL-AS1,chr17,-,19163497
SNORD3B-2,chr17,-,19064136
ENSG00000230197,chr17,+,19070568
ENSG00000228157,chr17,+,19088599
ENSG00000263394,chr17,-,19091825
ENSG00000262202,chr17,-,19190245
SNORD3D,chr17,-,19112636
GRAPL,chr17,+,19127534
ENSG00000262319,chr17,-,19143689
ENSG00000266664,chr17,+,19150278
ENSG00000266311,chr17,-,19174480
SNORD3A,chr17,+,19188015
SNORD3C,chr17,-,19190245
ENSG00000236022,chr17,+,19196622
EPN2,chr17,+,19215614
ENSG00000281856,chr17,+,19219142
EPN2-AS1,chr17,-,19306261
B9D1,chr17,-,19378193
MIR1180,chr17,-,19344574
ENSG00000286799,chr17,+,19362748
MAPK7,chr17,+,19377720
MFAP4,chr17,-,19387190
ENSG00000287196,chr17,-,19403872
RNF112,chr17,+,19411124
ENSG00000265126,chr17,-,19413144
ENSG00000235979,chr17,-,19495227
LINC02094,chr17,+,19419034
ENSG00000283675,chr17,+,19420278
ENSG00000304681,chr17,+,19429900
ENSG00000231477,chr17,+,19457079
SLC47A1,chr17,+,19495384
SNORA59B,chr17,+,19557210
ENSG00000262769,chr17,-,19647154
ENSG00000290454,chr17,+,19579942
ENSG00000290544,chr17,+,19629450
ALDH3A2,chr17,+,19648135
ENSG00000264932,chr17,-,19649935
ENSG00000252349,chr17,+,19661999
SLC47A2,chr17,-,19718979
ENSG00000262681,chr17,+,19719058
ENSG00000264785,chr17,+,19737681
ALDH3A1,chr17,-,19748943
ENSG00000296747,chr17,+,19752837
ULK2,chr17,-,19867936
ENSG00000279251,chr17,+,19855746
ENSG00000276406,chr17,+,19868567
ENSG00000270091,chr17,-,19897287
ENSG00000308788,chr17,+,19897712
AKAP10,chr17,-,19978343
ENSG00000266126,chr17,-,19929737
ENSG00000302336,chr17,+,19980057
SPECC1-DT,chr17,-,20009234
SPECC1,chr17,+,20008864
RNU6-258P,chr17,-,20126488
ENSG00000263494,chr17,+,20185081
RNU6-1057P,chr17,+,20290256
ENSG00000293363,chr17,+,20320823
RNU6-467P,chr17,+,20323000
ENSG00000266839,chr17,+,20323057
ENSG00000293206,chr17,-,20376393
ENSG00000291194,chr17,+,20408310
ENSG00000291195,chr17,+,20436336
LGALS9B,chr17,-,20467539
ENSG00000303528,chr17,-,20494221
KRT16P3,chr17,-,20512357
ENSG00000296015,chr17,+,20506258
ENSG00000266925,chr17,-,20508931
ENSG00000291197,chr17,-,20514227
ENSG00000310530,chr17,-,20516237
ENSG00000291198,chr17,-,20528687
ENSG00000260907,chr17,-,20532921
ENSG00000307353,chr17,+,20533013
ENSG00000267075,chr17,+,20545370
ENSG00000293327,chr17,-,20559410
ENSG00000264422,chr17,-,20579613
CDRT15L2,chr17,+,20579723
LINC02088,chr17,-,20633574
ENSG00000300660,chr17,+,20633443
ENSG00000300641,chr17,-,20698950
ENSG00000290430,chr17,+,20716480
ENSG00000300969,chr17,+,20728015
ENSG00000294301,chr17,+,20737838
CCDC144NL,chr17,-,20896211
ENSG00000264215,chr17,+,20788070
CCDC144NL-AS1,chr17,+,20841124
ENSG00000296292,chr17,-,20852976
ENSG00000266369,chr17,+,20855945
RNU6-1178P,chr17,-,20894638
ENSG00000296272,chr17,-,20928782
USP22,chr17,-,21043760
ENSG00000263986,chr17,+,20999746
LINC01563,chr17,+,21075361
DHRS7B,chr17,+,21123363
TMEM11,chr17,-,21214176
TMEM11-DT,chr17,+,21214321
RN7SL426P,chr17,-,21229628
NATD1,chr17,-,21253410
ENSG00000289453,chr17,+,21275896
MAP2K3,chr17,+,21284671
KCNJ12,chr17,+,21376356
LINC02693,chr17,-,21574517
ENSG00000287671,chr17,+,21442804
ENSG00000298174,chr17,+,21452556
